FID,Barrio,GEOCODIGO,LONG_SIG,DIRECCION
0.0,SAN ANDRES,TAX_001,44.0,PLAYA LAS TERESITAS
1.0,ZONA CENTRO,TAX_003,50.0,CALLE EL PILAR 2
2.0,LAS MIMOSAS,TAX_004,18.0,CALLE DOCTOR JOSE NAVEIRAS 38
3.0,ZONA CENTRO,TAX_005,50.0,CALLE EL PILAR 4
4.0,TOSCAL,TAX_006,15.0,AVDA FRANCISCO LA ROCHE  (MUELLE DE RIBERA)
5.0,BARRANCO GRANDE,TAX_035,32.0,CARRETERA DEL SOBRADILLO 1
6.0,JUAN XXIII,TAX_032,36.0,CALLE MAESTRO BORGUÑO (RESIDENCIA DE NUESTRA SEÑORA DE CANDELARIA)
7.0,SAN ANDRES,TAX_002,14.0,CALLE DIQUE 12 (SAN ANDRÉS)
8.0,ZONA CENTRO,TAX_007,23.0,CALLE GENERAL GUTIERREZ 2
9.0,ZONA CENTRO,TAX_008,50.0,PLAZA WEYLER
10.0,BARRANCO GRANDE,TAX_036,25.0,CARRETERA GENERAL DEL SUR 3A
11.0,AÑAZA,TAX_037,70.0,CALLE BENTAGAY 3
12.0,ZONA CENTRO,TAX_009,20.0,CALLE MENDEZ NUÑEZ 64
13.0,LOS GLADIOLOS,TAX_015,10.0,CALLE GANIVET 5
14.0,URBANIZACION ANAGA,TAX_010,15.0,CALLE CARLOS J. R. HAMILTON 10
15.0,LA GALLEGA,TAX_038,11.0,AVDA LITRE 8
16.0,LA SALUD,TAX_016,22.0,CALLE ARONA 4
17.0,TOSCAL,TAX_011,29.0,CALLE DOCTOR JOSE NAVEIRAS 28
18.0,LOS LLANOS,TAX_017,30.0,CALLE ALVARO RODRIGUEZ LOPEZ 13
19.0,LOS LLANOS,TAX_018,27.0,AVDA LA CONSTITUCION (FRENTE RECINTO FERIAL)
20.0,LOS LLANOS,TAX_019,61.0,AVDA TRES DE MAYO 7
21.0,LOS LLANOS,TAX_020,9.0,AVDA TRES DE MAYO 7
22.0,LOS LLANOS,TAX_021,18.0,AVDA TRES DE MAYO 9
23.0,LOS LLANOS,TAX_022,18.0,AVDA TRES DE MAYO 11
24.0,CUATRO TORRES,TAX_023,5.0,CALLE JOSE HERNANDEZ ALFONSO 1
25.0,CUATRO TORRES,TAX_024,33.0,CALLE JOSE HERNANDEZ ALFONSO 1
26.0,ZONA CENTRO,TAX_012,28.0,PLAZA DE ESPAÑA
27.0,ALISIOS,TAX_039,16.0,CALLE TAMARAGUA 57
28.0,LA SALLE,TAX_025,13.0,CALLE TOME CANO 7
29.0,LA SALLE,TAX_026,4.0,CALLE TOME CANO 7
30.0,LA SALLE,TAX_027,19.0,CALLE TOME CANO 7
31.0,LA SALLE,TAX_028,25.0,CALLE HELIODORO RODRIGUEZ LOPEZ 5
32.0,LOS LLANOS,TAX_029,23.0,AVDA TRES DE MAYO (INTERCAMBIADOR)
33.0,LOS LLANOS,TAX_030,15.0,AVDA TRES DE MAYO 67
34.0,LA SALLE,TAX_031,35.0,CALLE FRAGATA DANMARK 1
35.0,URBANIZACION ANAGA,TAX_013,17.0,CALLE CARLOS J. R. HAMILTON 10
36.0,VISTABELLA,TAX_033,12.0,CALLE SOR MARIA DE JESUS 3 (MIRADOR DE VISTABELLA)
37.0,SANTA CLARA,TAX_034,15.0,CALLE DOCTOR CORVINIANO RODRIGUEZ LOPEZ 1
38.0,LAS MIMOSAS,TAX_014,15.0,CALLE ENRIQUE WOLFSON 10
39.0,EL SOBRADILLO,TAX_040,17.0,AVDA LOS MAJUELOS 2
